Id,SalePrice
1461,121121.48798195829
1462,157157.6967368564
1463,187558.7839673163
1464,199394.24866262032
1465,193971.41220221145
1466,171790.49525611423
1467,177326.85837990808
1468,163344.71805739237
1469,192699.00653893044
1470,122625.58598894396
1471,191209.31388019372
1472,96780.65377670938
1473,94137.82100383235
1474,147305.08991469888
1475,110584.86395034275
1476,369665.70221366885
1477,248751.6943318013
1478,289416.4929294147
1479,290524.9368962347
1480,502591.4700969347
1481,329080.2120727338
1482,209885.46132405158
1483,181549.7109205283
1484,161178.9733331488
1485,188372.67078840244
1486,195736.20836896298
1487,344986.7366708204
1488,236934.95145068745
1489,199417.1245228483
1490,236895.26886533268
1491,195167.34298909892
1492,94778.0621938774
1493,190698.78119662404
1494,292423.3700106137
1495,289956.05811492633
1496,236798.83188673254
1497,181347.9133133669
1498,166482.5185856694
1499,161195.69732972814
1500,159290.51160004624
1501,176584.33582686615
1502,145214.77471852337
1503,285523.3926159461
1504,242439.024658094
1505,225944.01052547147
1506,191009.50358352857
1507,250086.25453951897
1508,203280.87727905784
1509,159834.11595369125
1510,148454.6390458081
1511,150317.4853983184
1512,176978.23937517678
1513,145872.58213090373
1514,160386.69614224276
1515,192699.4246356337
1516,152439.50632602084
1517,168865.31160767697
1518,130260.17196636695
1519,217398.70021165666
1520,130844.3508621778
1521,134188.2937800008
1522,177164.540207978
1523,112534.12005935157
1524,127388.71337540628
1525,122037.7791778021
1526,113016.03076526886
1527,104959.30005480489
1528,138770.2182201856
1529,151197.22835625883
1530,177751.7376503464
1531,107260.14882759585
1532,97022.28169353523
1533,152441.5482208715
1534,124431.0488973159
1535,153976.17070826833
1536,111124.42186410876
1537,59763.07542623492
1538,152142.83992830443
1539,194715.77790099385
1540,96598.57808538865
1541,141566.62642269014
1542,146749.6651954901
1543,199106.09875526806
1544,84632.16873028327
1545,115549.51794814823
1546,134600.2200803513
1547,132378.4933718328
1548,139155.32121671294
1549,120217.21561081155
1550,136611.61286135853
1551,108241.6538055505
1552,137313.29743834972
1553,153045.41938096436
1554,118773.60913340595
1555,165870.80051949108
1556,84508.31546395576
1557,108397.41449784278
1558,95606.45344912738
1559,66595.5990752185
1560,127538.4943482927
1561,137083.8088748106
1562,129060.83960472673
1563,122649.34545397502
1564,159288.20430734858
1565,149971.2750721265
1566,239677.99578394336
1567,74090.49375164411
1568,232638.01918235602
1569,136776.84527570207
1570,137467.69854623883
1571,122861.82760351413
1572,144030.16355187487
1573,245245.34141103615
1574,121975.47954897539
1575,237559.92639261307
1576,248551.30600254974
1577,186041.80213584297
1578,143983.8592504088
1579,150176.47805507493
1580,192756.813879988
1581,152602.78627872802
1582,125519.61582954468
1583,303200.9818333541
1584,220071.13040963453
1585,137013.2515341465
1586,65078.04723784723
1587,99777.74287340893
1588,155621.79320315408
1589,99303.16965073446
1590,136694.65002627266
1591,94290.34455154049
1592,117701.32947344026
1593,123979.64451307799
1594,135964.75754358803
1595,105853.6580820945
1596,224788.83212152924
1597,190650.03409597313
1598,218493.3187841783
1599,165063.08165186466
1600,158435.2632893452
1601,65194.29625570695
1602,115627.66222334767
1603,78505.91190912829
1604,268520.7486222073
1605,243240.41811658602
1606,173740.42809331595
1607,172901.84929645565
1608,219124.27189179425
1609,186716.69133674973
1610,153135.72769174253
1611,142746.00790171168
1612,172899.84017834475
1613,171405.91806266978
1614,128850.63633166286
1615,90762.0719900295
1616,76415.03668988253
1617,91926.7831208128
1618,126313.86731680122
1619,138695.86142477897
1620,158208.08142234397
1621,140090.01243579868
1622,138760.99510804928
1623,274645.2062186094
1624,218035.5885033816
1625,115850.11164886513
1626,164885.71443922375
1627,191625.12998038033
1628,276378.0831954464
1629,178990.54885683945
1630,346084.7764878931
1631,222600.90991079842
1632,239303.54685183236
1633,169133.3804975262
1634,187890.1480516598
1635,175592.0964217046
1636,150635.04517567813
1637,203299.11440674105
1638,182135.12028348394
1639,183248.57619290001
1640,248971.5161632319
1641,177994.23749317997
1642,239222.65212049472
1643,211815.3581541905
1644,229476.5345427429
1645,194412.21991501987
1646,159928.26186514515
1647,157083.60871353818
1648,131736.40001574217
1649,140994.75375199123
1650,112638.58577717726
1651,120720.87159395321
1652,96689.26878734533
1653,99813.90178741122
1654,143513.37840035968
1655,134668.84579390349
1656,140238.1800426888
1657,147592.79491461502
1658,145067.3629977639
1659,114500.93741152047
1660,159552.72345678793
1661,445730.0092470881
1662,391925.7587046889
1663,373765.22043374524
1664,499982.39853351965
1665,303942.73516097805
1666,324412.6146247449
1667,378254.1720499179
1668,346198.94213993545
1669,300248.9446796942
1670,342772.82662192744
1671,257089.46430669128
1672,439612.2654677824
1673,284571.67010483984
1674,236562.73333123804
1675,192344.8762449105
1676,193460.00785433492
1677,221166.18842860858
1678,462382.221512371
1679,399855.87070647243
1680,333434.2450360287
1681,244268.89356315127
1682,302116.44427402416
1683,177617.335110333
1684,172019.5300972139
1685,172145.9379713573
1686,165382.3555460945
1687,169157.91941290948
1688,187796.3902295389
1689,193093.88996896974
1690,192574.40816191956
1691,183134.50487515272
